YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
2015,"Upshaw, Robert",C,82.75,258.2,26.51,0.125,89.5,113,10,11,NA,NA,NA,NA,NA,NA,1.082,110,NA,NA
2015,"Vaughn, Rashad",SG,75.75,198.6,24.33,0.062,79,101,8,8.5,28,34,11.4,3.1,3.21,5,1.043,68,129,135
2015,"Walker, Chris",PF,80.75,208,22.43,0.051,86.75,108,9,9,30.5,37,11.25,3.41,3.35,6,1.074,81,138.5,145
2015,"Wells, Dez",SG,75,208.8,26.1,0.081,81.5,100.5,8.75,9.8,31.5,39,10.56,3.05,3.2,15,1.087,85.3,132,139.5
2015,"Williams, Alan",PF,79.25,261.4,29.26,0.12,85.75,106.5,8.5,9.5,25.5,28.5,12.26,3.54,3.5,8,1.082,80.8,132,135
2015,"Winslow, Justise",SF,76.5,221.8,26.64,0.053,82.25,104.5,8.5,9.3,NA,NA,NA,NA,NA,NA,1.075,78.6,NA,NA
2015,"Wood, Christian",PF,81.25,216,23,0.147,87.25,111.5,9.25,10.8,NA,NA,NA,NA,NA,NA,1.074,99.4,NA,NA
2015,"Wright, Delon",PG,76.25,181.4,21.93,0.066,79.5,101.5,8,8.5,29.5,31,11.16,3.5,3.29,4,1.043,68,131,132.5
2014,"Adams, Jordan",SG,75.5,208.8,25.75,0.108,82,102,8.5,7.5,24.5,29.5,12.13,3.05,3.5,NA,1.086,63.8,126.5,131.5
2014,"Anderson, Kyle",SF,79.5,230.1,25.59,0.1335,86.75,107.5,8.25,8.8,NA,NA,NA,NA,NA,NA,1.091,72.2,NA,NA
2014,"Antetokounmpo, Thanasis",SF,77.25,205.2,24.17,0.0605,84,104.5,9,9.8,31.5,39.5,11.39,3.05,3.18,NA,1.087,87.8,136,144
2014,"Bachynski, Jordan",PF,85.25,254.1,24.58,0.0745,88,108.5,9.25,10,29,33,12.15,3.03,3.36,NA,1.032,92.5,137.5,141.5
2014,"Bairstow, Cameron",PF,80.75,252.4,27.21,0.087,84.75,107,8.75,9,31,33.5,11.39,3.09,3.37,NA,1.05,78.8,138,140.5
2014,"Birch, Khem",PF,79.5,208.8,23.22,0.06,85,107,9,8.5,30.5,35.5,11.6,3.24,3.26,NA,1.069,76.5,137.5,142.5
2014,"Brown, Alec",PF,84.25,231.2,22.9,0.077,85.5,109,9.25,8.8,27,30,12.05,2.91,3.48,NA,1.015,80.9,136,139
2014,"Brown, Jabari",SG,75,201.9,25.23,0.0605,80.25,100,9,9.3,28,32,11.6,3.26,3.5,NA,1.07,83.3,128,132
2014,"Brown, Markel",SG,74.5,184.4,23.36,0.042,80.75,100,8.25,9.8,36.5,43.5,12.62,2.9,3.18,NA,1.084,80.4,136.5,143.5
2014,"Burton, Deonte",PG,72,192.8,26.15,0.0765,79,97.5,8.25,8,29,39.5,11.28,3.08,3.28,NA,1.097,66,126.5,137
2014,"Christon, Semaj",PG,73.5,186,24.2,0.0525,78.5,99,8.5,8.3,30.5,36.5,11.55,3.21,3.32,NA,1.068,70.1,129.5,135.5
2014,"Clarkson, Jordan",PG,75.25,186.3,23.13,0.043,80,98,8.25,9,33,38.5,10.76,2.98,3.28,NA,1.063,74.3,131,136.5
2014,"Craft, Aaron",PG,72.75,191.6,25.45,0.061,74,94.5,7.75,8.5,29,32,10.78,2.9,3.26,NA,1.017,65.9,123.5,126.5
2014,"Daniels, DeAndre",SF,79.25,196,21.94,0.0385,86,106.5,9.25,10.5,26.5,32,11.46,3.04,3.44,NA,1.085,97.1,133,138.5
2014,"Dinwiddie, Spencer",PG,76.5,204.9,24.61,0.0535,80.25,103,8.25,9,NA,NA,NA,NA,NA,NA,1.049,74.3,NA,NA
2014,"Early, Cleanthony",SF,78,209.4,24.2,0.0445,82.75,101.5,8.5,9,34,40,11.15,2.96,3.18,NA,1.061,76.5,135.5,141.5
2014,"Ejim, Melvin",SF,77.25,218.5,25.74,0.0645,83.25,103.5,8.75,9.3,29.5,35,11.55,3.12,3.14,NA,1.078,80.9,133,138.5
2014,"Ennis, Tyler",PG,73,181.5,23.94,0.062,79.25,98,8.25,8.8,29,36,11.12,2.84,3.3,NA,1.086,72.2,127,134
2014,"Exum, Dante",SG,76.5,196.3,23.58,0.064,81.5,103,8.5,9.5,31.5,34.5,10.75,2.88,3.19,NA,1.065,80.8,134.5,137.5
2014,"Fair, C.J.",SF,78.5,218.1,24.88,0.0505,81.5,104,9,9,27,35,11,3.06,3.32,NA,1.038,81,131,139
2014,"Gordon, Aaron",PF,79.5,220.1,24.48,0.0505,83.75,105,8.75,10.5,32.5,39,10.81,2.76,3.27,NA,1.053,91.9,137.5,144
2014,"Grant, Jerami",SF,78.5,214,24.41,0.0375,86.75,107,9.25,9.3,NA,NA,NA,NA,NA,NA,1.105,85.6,NA,NA
2014,"Hairston, P.J.",SG,76.25,228.8,27.67,0.082,81,101,8.75,9.8,32,37,11.12,NA,3.32,NA,1.062,85.3,133,138
2014,"Harris, Gary",SG,74.5,204.8,25.94,0.0455,78.75,96,8.5,9.5,NA,NA,NA,NA,NA,NA,1.057,80.8,NA,NA
2014,"Harris, Joe",SG,76.75,215,25.66,0.062,78,100,8.5,9.8,28.5,33.5,11.11,2.92,3.31,NA,1.016,82.9,128.5,133.5
2014,"Hood, Rodney",SF,79.25,208.2,23.3,0.0745,80.5,103,8.5,8.5,29,36,11.21,3.14,3.38,NA,1.016,72.3,132,139
2014,"Jefferson, Cory",PF,79.75,218.4,24.14,0.0525,84.5,105,8.75,9.8,33,37.5,12.63,3.39,3.36,NA,1.06,85.3,138,142.5
2014,"Johnson, Nick",SG,73.5,198,25.77,0.0605,79.25,96.5,8.75,9.8,33.5,41.5,10.8,2.95,3.27,NA,1.078,85.3,130,138
2014,"Kilpatrick, Sean",SG,74.5,218.7,27.7,0.092,79,99,9,9,NA,NA,NA,NA,NA,NA,1.06,81,NA,NA
2014,"Kirk, Alex",PF,81.25,252,26.84,0.136,87.5,109.5,9.25,10.5,28.5,31.5,11.2,3.19,3.48,NA,1.077,97.1,138,141
2014,"LaVine, Zach",PG,76.5,180.9,21.73,0.047,80.25,100,8.25,8.8,33.5,41.5,10.42,2.8,3.19,NA,1.049,72.2,133.5,141.5
2014,"Marble, Devyn",SG,77,192.4,22.81,0.069,81,102,8.25,8.5,29,35,11.32,3.08,3.28,NA,1.052,70.1,131,137
2014,"McAdoo, James",PF,79.5,227.6,25.32,0.0615,86.25,106.5,9.25,9,29.5,34,11.61,2.91,3.28,NA,1.085,83.3,136,140.5
2014,"McDaniels, K.J.",SF,76.5,195.6,23.5,0.0445,83.25,102,8.75,9.8,33,37,12.71,3.2,3.1,NA,1.088,85.3,135,139
2014,"McDermott, Doug",SF,78.25,218,25.03,0.071,81.25,103,8.75,9.8,28.5,36.5,11.1,3.15,3.29,NA,1.038,85.3,131.5,139.5
2014,"McRae, Jordan",SG,75.75,179.4,21.98,0.052,84.5,104,8.75,8.5,27.5,34.5,11.07,3.15,3.39,NA,1.116,74.4,131.5,138.5
2014,"Napier, Shabazz",PG,71,175.2,24.43,0.0735,75.25,93,8.25,8.5,30.5,37.5,11.6,3.13,3.2,NA,1.06,70.1,123.5,130.5
2014,"O?Bryant III, Johnny",PF,79.25,256.8,28.74,0.1075,86.25,105,9.25,9.5,31,35.5,11.57,3.32,3.45,NA,1.088,87.9,136,140.5
2014,"Patterson, Lamar",SG,76,226,27.51,0.1075,83,101,9,9.3,27.5,32.5,11.63,3.13,3.45,NA,1.092,83.3,128.5,133.5
2014,"Payne, Adreian",PF,81,238.5,25.55,0.0755,88,109,9.25,9.5,NA,NA,NA,NA,NA,NA,1.086,87.9,NA,NA
2014,"Payton, Elfrid",PG,74.5,185.4,23.48,0.0565,80,98.5,8.75,9,31.5,35.5,11.06,2.92,3.23,NA,1.074,78.8,130,134
2014,"Powell, Dwight",PF,81.5,234.4,24.81,0.062,84.5,105,9,9.3,28.5,35,11.28,2.88,3.2,NA,1.037,83.3,133.5,140
2014,"Randle, Julius",PF,79.75,249.7,27.6,0.094,84,105.5,8.75,8.3,29,35.5,11.45,3.14,3.27,NA,1.053,72.2,134.5,141
2014,"Robinson III, Glenn",SF,77.5,211.4,24.74,0.0505,82,100.5,9,9.5,36.5,41.5,11.22,3.04,3.15,NA,1.058,85.5,137,142
2014,"Ross, LaQuinton",SF,78.5,238.7,27.23,0.163,85.75,106,8.75,9.8,25,31,11.97,3.52,3.44,NA,1.092,85.3,131,137
2014,"Smart, Marcus",PG,74,227.2,29.17,0.1055,81.25,99,9,8.8,33,36,10.82,2.96,3.26,NA,1.098,78.8,132,135
2014,"Smith, Russ",PG,71.5,160,22,0.035,75.5,95,8.25,8.5,29.5,34,11.57,3.01,3.27,NA,1.056,70.1,124.5,129
2014,"Stauskas, Nik",SG,77.25,206.9,24.37,0.1205,79.75,102,8.5,8.5,29,35.5,10.79,2.92,3.27,NA,1.032,72.3,131,137.5
2014,"Stokes, Jarnell",PF,79,262.8,29.6,0.082,85.25,103.5,9.75,10.5,31,36,11.92,3.2,3.26,NA,1.079,102.4,134.5,139.5
2014,"Thames, Xavier",PG,74.25,187,23.85,0.064,76,96,8.25,9,29,32.5,11.48,3.02,3.48,NA,1.024,74.3,125,128.5
2014,"Vonleh, Noah",PF,80,247.1,27.14,0.073,88.25,108,9.75,11.8,31,37,11.45,3.29,3.28,NA,1.103,114.6,139,145
2014,"Warren, T.J.",SF,79,220.2,24.8,0.0795,82.25,104,8.75,9,27,35.5,11.1,3.04,3.26,NA,1.041,78.8,131,139.5
2014,"Wilcox, C.J.",SG,75.5,201,24.79,0.065,81.75,100.5,8.75,9,31,37.5,11.3,2.92,3.22,NA,1.083,78.8,131.5,138
2014,"Williams, Kendall",PG,74.25,183,23.34,0.072,77.5,99,8,7.8,27,33,10.83,2.85,NA,NA,1.044,62,126,132
2014,"Young, James",SG,77.25,213.3,25.13,0.051,84,104,9,9.5,28,35.5,NA,NA,NA,NA,1.087,85.5,132,139.5
2014,"Young, Patric",PF,80.5,246.8,26.77,0.0545,85.75,103.5,9.25,9.5,32,37.5,11.18,3.06,3.43,NA,1.065,87.9,135.5,141
2013,"Adams, Steven",C,82.75,254.5,26.13,0.0665,88.5,109.5,9.5,11,28.5,33,11.85,3.02,3.4,16,1.069,104.5,138,142.5
2013,"Blue, Vander",SG,75.5,197.4,24.34,0.046,78,100.5,8.5,9.5,28,37.5,10.4,2.7,3.14,4,1.033,80.8,128.5,138
2013,"Brown, Lorenzo",PG,76,189.2,23.03,0.0395,79,100,8.25,8.5,28,34,11.78,3.24,3.4,8,1.039,70.1,128,134
2013,"Bullock, Reggie",SG-SF,77.75,199.8,23.24,0.0695,80.75,102,8.5,9,31,36.5,11.33,3.3,3.31,11,1.039,76.5,133,138.5
2013,"Burke, Trey",PG,71.75,187,25.54,0.069,77.5,97.5,8.25,8.8,29.5,36.5,11.2,3.01,3.16,3,1.08,72.2,127,134
2013,"Caldwell-Pope, Kentavious",SG,76.5,203.6,24.46,0.0645,80,100.5,8.5,9,29,34.5,10.6,3.2,3.12,7,1.046,76.5,129.5,135
2013,"Canaan, Isaiah",PG,71,188.4,26.27,0.059,76.5,94.5,8.25,9.5,33,40.5,10.98,2.89,3.22,16,1.077,78.4,127.5,135
2013,"Carmichael, Jackie",PF,79.5,241.2,26.83,0.058,85.5,107,9,10.3,30,32,11.83,3.07,3.35,13,1.075,92.3,137,139
2013,"Carter-Williams, Michael",PG,76.75,184.4,22.01,0.044,79.25,101,7.5,8.5,31.5,41,10.68,3.7,3.22,8,1.033,63.8,132.5,142
2013,"Clyburn, Will",SF-SG,77.75,210.4,24.47,0.0685,84.25,105,9.25,10.3,28,34.5,11.68,3.12,3.38,3,1.084,94.8,133,139.5
2013,"Covington, Robert",SF-PF,78.25,208.6,23.95,0.047,85.75,106,9,8.5,29.5,36,11.69,3.1,3.34,9,1.096,76.5,135.5,142
