,YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT
69,2024,Jamal Shead,PG,72.3,200.8,27.04,,75.0,96.0,8.25,8.8,30.0,37.5,10.87,2.87,2.94
70,2024,Reed Sheppard,PG,73.8,181.6,23.47,,75.3,93.5,7.75,9.0,32.5,42.0,10.96,3.03,3.08
71,2024,KJ Simpson,PG,72.3,187,25.18,,76.5,93.5,8.25,9.3,32.5,40.5,10.49,2.98,3.24
72,2024,Tyler Smith,PF,81.0,223.8,23.98,,85.0,105.0,8.5,9.0,32.0,38.0,10.74,2.99,3.28
73,2024,Cam Spencer,SG,75.0,201.8,25.22,,77.0,98.5,8.5,9.8,23.0,30.5,11.07,3.0,3.35
74,2024,Nae'Qwan Tomlin,PF,80.3,205,22.38,,86.5,109.0,9.0,10.0,27.5,32.5,11.63,3.54,3.43
75,2024,Nikola Topic,PG,77.8,203,23.61,,77.5,102.0,8.0,9.0,,,,,
76,2024,JT Toppin,PF,79.0,221,24.89,,84.5,106.0,9.25,9.3,28.5,34.0,11.12,3.01,3.27
77,2024,Jaylon Tyson,SF,77.5,218.2,25.54,,80.0,102.5,8.25,9.5,29.5,36.5,11.13,3.06,3.12
78,2024,Ja'Kobe Walter,SG,76.3,197.6,23.89,,82.0,102.5,8.75,9.8,30.5,38.5,11.0,2.92,3.04
79,2024,Kel'el Ware,C,83.8,230,23.05,,88.5,112.5,9.5,10.3,32.5,36.0,10.97,2.91,3.29
80,2024,Jamir Watkins,SF,77.0,211.6,25.09,,82.8,104.0,9.0,9.5,30.5,35.5,10.64,3.16,3.01
81,2024,Jaylen Wells,SF,78.5,206.2,23.52,,79.3,103.5,8.25,9.3,27.5,36.0,11.28,3.03,3.08
82,2024,Cody Williams,SF,78.5,178.4,20.35,,85.0,103.0,8.25,9.0,31.0,35.5,11.17,2.93,3.06
83,2023,Amari Bailey,SG,75.3,190.8,23.69,,79.0,103.5,8.0,9.3,28.5,35.0,11.0,,3.19
84,2023,Emoni Bates,SF,80.3,179.2,19.56,,81.0,105.0,8.0,8.3,27.0,33.0,12.0,,3.0
85,2023,Anthony Black,PG,77.8,210,24.42,,79.5,102.5,8.25,9.5,32.0,39.0,11.0,,3.0
86,2023,Kobe Brown,PF,78.5,252.2,28.77,,84.8,106.5,8.75,9.8,29.0,32.0,11.0,3.0,3.0
87,2023,Kobe Bufkin,SG,76.3,186.8,22.59,,79.8,102.5,8.0,9.3,29.0,36.0,12.0,,3.0
88,2023,Toumani Camara,PF,79.0,220.4,24.83,,84.5,107.0,9.0,10.0,29.0,33.0,11.0,3.0,3.0
89,2023,Sidy Cissoko,SF,77.5,223.8,26.19,,81.8,104.0,9.25,10.0,31.0,36.0,11.24,,3.0
90,2023,Jaylen Clark,SG,76.0,204.2,24.85,,81.0,101.5,8.5,9.0,,,,,
91,2023,Ricky Council IV,SF,77.0,208,24.66,,81.0,103.0,7.75,8.5,31.0,37.0,11.2,3.0,3.0
92,2023,Gradey Dick,SG,78.3,204,23.42,,80.8,101.0,8.25,9.0,29.0,34.0,11.13,3.0,4.0
93,2023,Adam Flagler,PG,73.0,191.8,25.3,,76.5,97.0,8.0,9.3,31.0,36.0,10.96,,3.0
94,2023,Mouhamed Gueye,C,82.3,212.6,22.09,,87.3,110.5,9.0,10.0,,,,,
95,2023,Jordan Hawkins,SG,76.3,186,22.49,,78.8,101.5,8.25,8.8,,,,,
96,2023,Taylor Hendricks,PF,80.3,213.6,23.32,,84.5,107.0,9.25,10.3,33.0,36.0,11.27,,3.0
97,2023,Jalen Hood-Schifino,PG,76.3,216.6,26.19,,82.3,100.5,9.0,9.8,,,,,
98,2023,Andre Jackson Jr.,SF,77.5,198.4,23.22,,81.8,103.0,8.25,9.5,31.0,40.0,10.83,,3.0
99,2023,Trayce Jackson-Davis,C,80.3,240.4,26.24,,85.0,106.0,9.25,10.8,33.0,37.0,11.8,3.0,3.0
100,2023,GG Jackson,PF,80.3,214.4,23.4,,83.5,106.0,8.5,10.0,31.0,37.0,11.39,,3.0
101,2023,Jaime Jaquez Jr.,SF,78.0,226.4,26.16,,81.5,99.5,8.5,9.5,35.0,39.0,11.21,,3.0
102,2023,Keyontae Johnson,SF,76.0,238.6,29.04,,84.0,103.0,9.0,9.0,,,,,
103,2023,Colby Jones,SG,76.5,199.2,23.93,,80.0,103.0,8.25,8.5,30.5,35.0,11.14,3.13,3.33
104,2023,Ryan Kalkbrenner,C,84.8,251.8,24.65,,89.0,112.5,9.25,11.0,28.0,30.5,12.27,,3.39
105,2023,Arthur Kaluma,PF,78.3,221.8,25.47,,84.5,103.5,8.5,10.0,32.5,34.5,11.35,3.26,3.44
106,2023,Mojave King,SG,75.8,200.6,24.58,,80.0,101.0,8.75,9.5,33.5,42.0,11.07,,3.18
107,2023,Maxwell Lewis,SG,78.3,207.2,23.79,,84.0,104.5,8.75,9.5,32.5,36.5,11.4,,3.43
108,2023,Chris Livingston,SF,78.0,219.2,25.33,,83.3,104.5,8.5,9.0,30.5,37.0,11.65,,3.27
109,2023,Seth Lundy,SF,76.0,214.4,26.09,,82.3,104.0,8.5,9.0,31.5,35.5,11.02,,3.15
110,2023,Mike Miles Jr.,PG,72.8,205,27.23,,72.5,96.0,8.0,8.3,33.0,37.0,11.01,3.24,3.11
111,2023,Jordan Miller,SF,76.5,191.6,23.02,,83.8,103.5,8.5,9.3,32.0,36.5,11.43,3.21,3.17
112,2023,Leonard Miller,PF,81.3,212.8,22.66,,86.0,106.5,9.5,10.5,32.0,37.5,11.0,,3.33
113,2023,Judah Mintz,PG,75.0,176.4,22.05,,75.5,98.0,8.25,9.3,28.5,37.0,10.32,3.13,3.24
114,2023,Dillon Mitchell,PF,78.8,193,21.88,,82.0,105.0,8.25,9.5,29.0,37.0,10.92,,3.32
115,2023,Omari Moore,SG,77.3,188.6,22.22,,81.8,103.5,9.0,10.3,29.0,35.5,10.8,,3.22
116,2023,Kris Murray,PF,79.8,212.8,23.52,,83.8,106.0,8.5,9.0,29.5,35.0,11.11,,3.3
117,2023,Grant Nelson,PF,82.0,223.4,23.36,,84.0,106.5,9.0,9.5,32.0,35.5,9.99,,3.21
118,2023,Julian Phillips,SF,78.8,196.6,22.29,,83.5,102.0,8.5,9.0,36.0,43.0,11.09,,3.32
119,2023,Jalen Pickett,PG,74.0,197.8,25.39,,79.3,98.5,8.5,7.5,28.5,33.0,11.91,3.41,3.35
120,2023,Brandin Podziemski,SG,75.8,203.8,24.97,,77.5,96.5,8.25,10.0,31.5,39.0,11.16,3.2,3.21
121,2023,Olivier-Maxence Prosper,PF,78.8,212.4,24.08,,85.0,104.0,8.25,10.0,35.0,40.5,10.59,3.0,3.21
122,2023,Rayan Rupert,SF,78.0,193.2,22.32,,86.0,106.0,8.5,9.5,27.5,32.5,11.18,,3.43
123,2023,Adama Sanogo,C,79.3,257.8,28.86,,86.8,108.5,9.75,10.0,28.5,31.0,11.5,,3.31
124,2023,Marcus Sasser,PG,73.3,195.6,25.63,,79.0,99.5,8.75,9.5,27.0,35.0,10.68,,3.43
125,2023,Ben Sheppard,SG,77.3,194.6,22.92,,79.8,100.0,8.5,9.5,29.5,35.5,10.88,2.98,3.17
126,2023,Jalen Slawson,PF,78.5,221.6,25.28,,83.8,106.0,9.0,9.0,29.0,33.0,11.26,,3.29
127,2023,Terquavion Smith,SG,74.5,163.2,20.67,,78.8,98.0,8.5,8.0,30.0,37.0,10.86,,3.21
128,2023,Julian Strawther,SF,78.0,208.8,24.13,,81.3,105.0,8.25,8.3,27.5,34.5,10.94,3.46,3.31
129,2023,Amen Thompson,SG,77.8,214.2,24.91,,84.0,103.5,8.5,8.5,,,,,
130,2023,Ausar Thompson,SG,77.8,218.2,25.38,,84.0,104.0,8.75,9.3,,,,,
131,2023,Drew Timme,C,80.8,243.2,26.22,,85.8,108.5,9.0,10.0,26.0,30.5,10.93,,3.34
132,2023,Oscar Tshiebwe,C,79.3,253.6,28.39,,87.5,108.0,9.75,10.3,29.5,32.5,12.26,,3.32
133,2023,Azuolas Tubelis,PF,80.8,234.8,25.31,,83.0,108.0,9.0,10.5,23.5,30.5,11.17,,3.5
134,2023,Tristan Vukcevic,C,83.3,223.4,22.66,,86.5,111.0,9.0,10.3,26.0,30.5,11.71,3.16,3.43
135,2023,Jarace Walker,PF,78.5,248.6,28.36,,86.5,104.5,9.0,10.0,34.5,38.0,10.89,,3.2
136,2023,Cason Wallace,PG,74.5,195.2,24.72,,80.5,101.0,8.5,9.3,28.0,36.0,10.82,,3.34
137,2023,Jordan Walsh,SF,77.8,204,23.72,,85.8,107.0,8.75,8.5,33.0,36.0,10.83,,3.3
138,2023,Dariq Whitehead,SG,77.8,217.2,25.26,,82.3,103.5,8.5,10.0,,,,,
139,2023,Cam Whitmore,SF,77.8,235,27.33,,80.5,103.5,8.0,8.3,31.5,40.5,10.82,3.33,3.2
140,2023,Jalen Wilson,SF,77.5,230.2,26.94,,80.0,99.5,8.25,9.0,31.5,35.0,11.26,3.15,3.2
141,2023,Isaiah Wong,SG,74.5,178.4,22.6,,78.8,97.5,8.25,9.5,32.5,37.0,10.93,,3.22
142,2022,Ochai Agbaji,SG,76.5,216.8,26.04,0.054,82.25,104.0,8.75,9.5,32.0,39.0,10.77,3.11,3.13
143,2022,Patrick Baldwin Jr.,SF,81.25,230.8,24.58,0.089,85.75,110.5,8.75,9.5,23.5,26.5,12.25,3.3,3.45
144,2022,Dominick Barlow,PF,80.75,221,23.83,0.059,87.0,108.5,9.0,10.5,28.5,34.0,11.29,3.19,3.33
145,2022,MarJon Beauchamp,SG,77.25,196.6,23.16,0.053,84.75,106.0,9.0,9.0,,,,,
146,2022,Hugo Besson,SG,76.5,180.4,21.67,0.088,77.5,102.0,7.5,8.5,24.5,31.5,11.36,3.25,3.4
147,2022,Malaki Branham,SG,76.0,194.8,23.71,0.061,82.0,102.5,8.5,9.8,29.0,35.0,11.38,3.09,3.17
148,2022,Christian Braun,SG,77.5,209.2,24.49,0.062,78.5,99.5,8.0,8.5,33.5,40.0,11.0,3.13,3.16
149,2022,Kendall Brown,SF,78.25,201.2,23.1,0.049,83.0,103.0,9.0,9.0,31.5,41.0,11.57,3.05,3.29
150,2022,John Butler Jr.,PF,83.75,174.4,17.48,0.047,86.25,112.0,8.5,8.8,26.5,28.5,11.16,3.04,3.33
151,2022,Julian Champagnie,SF,78.25,212.4,24.39,0.071,82.0,107.0,8.75,9.3,28.5,34.5,11.39,3.04,3.14
152,2022,Kennedy Chandler,PG,71.5,172.2,23.68,0.044,77.25,97.0,8.5,9.5,31.0,41.5,10.73,2.89,
153,2022,Max Christie,SG,76.25,189.2,22.88,0.048,80.75,102.5,8.0,8.5,32.0,37.5,10.82,3.02,3.07
154,2022,Kofi Cockburn,C,83.0,293,29.9,0.082,88.25,110.5,9.75,10.3,29.5,32.5,12.11,3.31,3.33
155,2022,Dyson Daniels,SG,78.0,195.2,22.56,0.049,82.5,105.0,8.5,9.8,29.0,34.0,10.81,2.81,3.22
156,2022,Johnny Davis,PG,76.25,196.4,23.75,0.067,80.5,103.5,8.5,10.3,,,,,
157,2022,JD Davison,PG,72.5,191.8,25.65,0.078,78.5,99.5,8.5,9.5,30.0,37.0,11.38,3.23,3.26
158,2022,Moussa Diabate,C,81.25,216.6,23.07,0.027,86.5,109.5,8.5,10.5,29.0,36.5,11.16,2.9,3.26
159,2022,Tari Eason,PF,78.75,217.4,24.64,0.059,86.0,107.5,9.25,11.0,,,,,
160,2022,Keon Ellis,SG,75.5,167.4,20.65,0.038,80.5,102.0,8.0,9.3,28.0,35.5,10.87,3.02,3.18
161,2022,Michael Foster Jr.,C,79.75,236.6,26.15,0.062,84.25,109.5,8.75,10.0,28.0,32.5,11.49,3.1,3.22
162,2022,Collin Gillespie,PG,73.5,195.8,25.48,0.086,76.0,98.0,8.25,9.0,26.5,33.0,10.95,3.01,3.21
163,2022,Ron Harper Jr.,SF,76.0,240.4,29.26,0.143,85.25,105.5,9.5,10.0,26.0,30.5,11.41,3.24,3.4
164,2022,Nikola Jovic,SF,81.5,222.6,23.56,0.074,84.25,108.5,8.75,9.8,,,,,
165,2022,Johnny Juzang,SG,77.25,208.6,24.57,0.075,83.0,102.5,8.5,9.5,27.5,32.5,11.03,3.17,3.29
166,2022,Trevor Keels,SG,75.25,223.8,27.78,0.135,79.25,101.0,8.25,9.0,24.5,31.0,11.33,3.32,3.27
167,2022,Walker Kessler,C,84.25,256,25.35,0.147,88.25,113.0,8.5,8.5,,,,,
168,2022,Christian Koloko,C,82.75,221,22.69,0.057,89.25,113.0,9.0,10.8,28.0,33.5,11.3,3.19,3.27
169,2022,Jake LaRavia,PF,78.75,227.2,25.76,0.09,81.5,104.0,8.5,10.3,27.5,34.0,10.58,2.89,3.37
170,2022,Justin Lewis,PF,78.25,235.4,27.03,0.073,86.5,105.5,9.0,10.5,32.5,35.0,11.49,3.02,3.23
171,2022,E.J. Liddell,PF,77.5,243,28.44,0.122,83.75,103.5,8.25,9.3,35.5,38.0,11.11,3.23,3.26
172,2022,Bennedict Mathurin,SG,76.5,204.6,24.58,0.057,81.0,104.0,8.5,9.8,,,,,
173,2022,Matthew Mayer,SF,80.0,216.4,23.77,0.111,82.5,105.0,9.0,10.3,25.5,31.5,10.74,,3.39
174,2022,Bryce McGowens,SG,77.25,181.2,21.35,0.054,80.75,103.5,8.75,9.5,29.5,34.0,11.12,3.16,3.27
175,2022,Aminu Mohammed,SG-SF,75.5,212.8,26.24,0.051,83.0,104.0,8.75,9.5,29.5,36.0,11.54,3.04,3.33
176,2022,Iverson Molinar,PG,74.25,183.2,23.36,0.048,80.0,101.0,8.5,9.5,31.0,38.0,11.23,3.1,3.19
177,2022,Jean Montero,PG,73.0,171.8,22.66,0.074,77.25,98.5,8.0,8.8,29.5,37.0,11.19,3.17,3.17
178,2022,Wendell Moore,SG,76.25,217.2,26.26,0.075,84.5,101.0,8.75,10.3,32.5,38.5,10.94,3.21,3.3
179,2022,Andrew Nembhard,PG,75.0,195.6,24.45,0.044,77.75,99.0,8.0,9.5,26.5,35.0,10.46,3.02,3.26
180,2022,Scotty Pippen Jr.,PG,72.0,180,24.41,0.053,77.75,95.5,7.75,9.0,30.5,37.5,11.07,3.1,3.21
181,2022,Gabriele Procida,SG-SF,77.75,192.8,22.42,0.038,80.0,106.0,8.0,9.3,29.5,35.0,11.02,3.14,3.07
182,2022,Orlando Robinson,C,81.75,244.4,25.71,0.095,88.0,111.0,8.75,10.0,23.0,27.5,11.4,3.23,3.55
183,2022,David Roddy,PF,76.5,260.8,31.33,0.116,83.5,105.0,8.75,10.0,27.0,35.5,10.75,3.1,3.22
184,2022,Ryan Rollins,SG,74.0,179.2,23.01,0.05,81.75,100.5,8.0,8.5,30.5,36.5,11.26,3.28,3.07
185,2022,Dereon Seabron,SG,76.75,182.4,21.77,0.04,80.75,103.5,8.5,9.5,30.5,38.0,11.03,3.04,3.12
186,2022,Shaedon Sharpe,SG,76.25,198,23.94,0.048,83.5,103.5,9.0,9.3,,,,,
187,2022,Matteo Spagnolo,PG,76.0,196.2,23.88,0.086,80.0,102.0,8.25,10.0,25.5,31.5,11.42,3.16,3.4
188,2022,Dalen Terry,SG,78.0,195.2,22.56,0.054,84.75,106.0,8.5,9.0,,,,,
189,2022,Jabari Walker,PF,78.75,213.8,24.24,0.121,82.75,105.0,8.75,9.8,29.5,32.5,11.53,3.12,3.24
190,2022,TyTy Washington Jr.,SG,74.25,196.4,25.04,0.12,80.0,99.5,8.5,9.3,,,,,
191,2022,Peyton Watson,SF,78.75,203.4,23.06,0.052,84.5,107.5,8.5,9.5,28.0,33.5,11.03,3.24,3.28
192,2022,Blake Wesley,SG,75.0,187.2,23.4,0.056,81.25,103.0,8.25,9.0,30.0,36.0,11.55,3.25,3.21
193,2022,Alondes Williams,SG,75.75,209,25.61,0.072,79.0,102.0,8.5,9.3,30.0,35.5,10.96,3.11,3.15
194,2022,Jalen Williams,SG,76.5,209.2,25.13,0.089,86.25,105.5,8.5,9.5,33.5,39.0,11.13,3.17,3.11
195,2022,Jaylin Williams,C,80.75,236.6,25.51,0.08,85.0,108.5,8.5,10.5,24.5,30.0,11.64,3.1,3.5
196,2022,Mark Williams,C,84.0,242.4,24.15,0.054,90.5,117.0,9.0,9.8,,,,,
197,2022,Trevion Williams,C,79.25,264.6,29.62,0.108,86.75,108.5,9.0,10.3,27.5,30.0,12.75,3.46,3.48
198,2021,Max Abmas,PG,70.5,161.8,22.89,0.055,73.75,94.0,8.0,7.8,28.5,32.5,10.9,3.49,3.12
199,2021,Marcus Bagley,SF,78.0,216.8,25.05,0.075,83.0,102.5,8.75,8.5,32.5,38.5,12.26,3.1,3.17
200,2021,Scottie Barnes,SF,79.0,225.4,25.39,0.053,86.75,108.0,9.25,10.3,36.0,39.5,10.88,2.99,3.15
201,2021,Charles Bassey,C,81.25,230.2,24.51,0.059,87.0,107.5,9.0,9.5,33.0,36.0,12.19,3.33,3.13
202,2021,Brandon Boston Jr.,SF,77.75,188,21.86,0.06,82.75,104.0,9.0,9.8,,,,,
203,2021,James Bouknight,SG,75.5,190,23.43,0.055,80.25,101.5,8.75,9.0,,,,,
204,2021,Greg Brown III,PF,79.25,206.4,23.1,0.055,84.25,107.0,9.0,9.8,33.5,39.0,10.98,2.98,3.19
205,2021,Jared Butler,PG,74.25,193,24.61,0.051,76.0,98.5,8.5,8.3,,,,,
206,2021,Justin Champagnie,PF,77.75,206.4,24.0,0.063,81.5,104.0,8.75,8.5,27.0,35.0,11.94,3.14,3.34
207,2021,Josh Christopher,SG,75.25,214.8,26.67,0.058,81.25,101.0,8.75,8.5,29.5,37.5,11.32,3.3,3.14
208,2021,Ayo Dosunmu,SG,75.5,194.4,23.97,0.049,82.25,102.0,8.5,8.8,27.0,33.5,11.51,3.27,3.23
209,2021,David Duke Jr.,SG,76.25,203.6,24.62,0.059,80.75,102.5,8.5,9.0,30.0,39.0,11.21,3.19,3.08
210,2021,Kessler Edwards,PF,79.0,203,22.87,0.043,83.25,106.0,8.5,8.3,28.0,37.0,11.3,3.38,3.25
211,2021,Luka Garza,C,82.0,242.8,25.38,0.117,85.5,107.5,9.0,9.3,24.0,29.5,11.9,3.38,3.51
