,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,usg_pct,ts_pct,ast_pct,season
4470,9324,Cory Joseph,TOR,25,75.0,190.0,Texas,Canada,2011,1,29,80,9.3,2.9,3.3,2.0,0.183,0.518,0.2,2016-17
11467,8779,Coty Clarke,BOS,23,79.0,225.0,,USA,,Undrafted,Undrafted,3,2.0,0.3,0.0,24.4,0.363,0.75,0.0,2015-16
4104,2585,Courtney Alexander,WAS,25,78.0,205.0,Fresno State,USA,2000,1,13,56,9.8,2.6,1.5,-6.4,0.204,0.521,0.114,2001-02
9732,6707,Courtney Fortson,HOU,24,71.0,185.0,Arkansas,USA,,Undrafted,Undrafted,10,3.5,1.5,1.0,-22.6,0.217,0.453,0.222,2011-12
2722,6028,Courtney Lee,NJN,24,77.0,200.0,Western Kentucky,USA,2008,1,22,71,12.5,3.5,1.7,-9.4,0.178,0.525,0.086,2009-10
10309,5724,Courtney Sims,NYK,25,83.0,245.0,Michigan,USA,,Undrafted,Undrafted,2,3.0,2.0,0.0,6.0,0.231,0.5,0.0,2008-09
10658,6345,Craig Brackins,PHI,23,82.0,230.0,Iowa State,USA,2010,1,21,3,2.7,1.3,0.3,-29.2,0.22,0.25,0.05,2010-11
9681,115,Craig Ehlo,SEA,35,78.0,180.0,Washington State,USA,1983,3,48,62,3.5,1.8,1.1,5.7,0.166,0.412,0.13,1996-97
3940,5723,Craig Smith,MIN,25,79.0,250.0,Boston College,USA,2006,2,36,74,10.1,3.8,1.1,-6.6,0.231,0.599,0.097,2008-09
11510,11932,Craig Sword,WAS,28,75.0,196.0,Mississippi State,USA,,Undrafted,Undrafted,3,2.0,0.0,0.3,8.3,0.125,0.75,0.1,2021-22
7503,9846,Cristiano Felicio,CHI,25,81.0,280.0,,Brazil,,Undrafted,Undrafted,55,5.6,4.2,1.0,-16.4,0.133,0.614,0.093,2017-18
12684,116,Cuonzo Martin,MIL,25,77.0,213.0,Purdue,USA,1995,2,57,3,0.0,0.3,0.3,-12.1,0.214,0.0,0.1,1996-97
9600,3116,Curtis Borchardt,UTA,23,84.0,240.0,Stanford,USA,2002,1,18,16,3.6,3.4,0.9,-6.2,0.149,0.454,0.097,2003-04
446,2586,Cuttino Mobley,HOU,26,76.0,210.0,Rhode Island,USA,1998,2,41,74,21.7,4.1,2.5,-3.9,0.251,0.537,0.112,2001-02
322,10931,D'Angelo Russell,MIN,24,76.0,193.0,Ohio State,USA,2015,1,2,45,23.1,3.9,6.3,-8.1,0.305,0.556,0.327,2019-20
1996,6347,D.J. Augustin,CHA,23,72.0,180.0,Texas,USA,2008,1,9,82,14.4,2.7,6.1,-4.9,0.211,0.541,0.306,2010-11
7081,6702,D.J. Kennedy,CLE,22,77.0,214.0,St. John's (NY),USA,,Undrafted,Undrafted,2,6.0,3.5,1.5,-32.7,0.13,0.466,0.088,2011-12
5782,11921,D.J. Wilson,TOR,26,82.0,231.0,Michigan,USA,2017,1,17,4,7.5,4.0,1.3,-16.5,0.159,0.773,0.147,2021-22
10649,5576,DJ Mbenga,LAL,28,84.0,255.0,,Democratic Republic of the Congo,,Undrafted,Undrafted,23,2.7,1.3,0.4,0.4,0.18,0.504,0.078,2008-09
11097,7841,DJ Stephens,MIL,23,77.0,188.0,Memphis,USA,,Undrafted,Undrafted,3,2.3,1.7,0.0,-7.1,0.217,0.47,0.0,2013-14
11200,5074,DJ Strawberry,PHX,23,77.0,201.0,Maryland,USA,2007,2,59,33,2.2,0.8,0.9,-3.2,0.189,0.364,0.165,2007-08
4725,5449,DJ White,OKC,22,81.0,251.0,Indiana,USA,2008,1,29,7,8.9,4.6,0.9,-0.2,0.204,0.556,0.07,2008-09
8616,6700,DaJuan Summers,NOH,24,80.0,240.0,Georgetown,USA,2009,2,35,15,4.5,1.5,0.7,-8.3,0.173,0.493,0.083,2011-12
9081,11419,DaQuan Jeffries,SAS,23,77.0,230.0,Tulsa,USA,,Undrafted,Undrafted,31,4.1,2.3,0.7,-4.5,0.114,0.514,0.059,2020-21
4583,5450,Daequan Cook,MIA,22,77.0,210.0,Ohio State,USA,2007,1,21,75,9.1,2.5,0.9,-0.3,0.182,0.512,0.062,2008-09
2522,8784,Dahntay Jones,CLE,35,78.0,225.0,Duke,USA,2003,1,20,1,13.0,5.0,2.0,-6.1,0.157,0.464,0.067,2015-16
10584,10354,Dairis Bertans,NOP,29,76.0,200.0,,Latvia,,Undrafted,Undrafted,12,2.8,0.8,0.8,-15.0,0.12,0.362,0.078,2018-19
9249,12627,Daishen Nix,HOU,21,76.0,226.0,,USA,,Undrafted,Undrafted,57,4.0,1.7,2.3,-8.2,0.149,0.447,0.191,2022-23
2359,2891,Dajuan Wagner,CLE,20,75.0,200.0,Memphis,USA,2002,1,6,47,13.4,1.7,2.8,-9.5,0.238,0.466,0.169,2002-03
11705,9842,Dakari Johnson,OKC,22,84.0,255.0,Kentucky,USA,2015,2,48,31,1.8,1.1,0.3,10.9,0.139,0.575,0.083,2017-18
7128,11418,Dakota Mathias,PHI,25,76.0,200.0,Purdue,USA,2018,Undrafted,Undrafted,8,6.0,0.9,1.6,-10.6,0.166,0.474,0.157,2020-21
8547,12628,Dalano Banton,TOR,23,79.0,204.0,Nebraska,Canada,2021,2,46,31,4.6,1.5,1.2,-6.5,0.229,0.505,0.202,2022-23
3737,117,Dale Davis,IND,28,83.0,230.0,Clemson,USA,1991,1,13,80,10.4,9.7,0.7,-0.2,0.159,0.532,0.04,1996-97
1369,118,Dale Ellis,DEN,36,79.0,215.0,Tennessee,USA,1983,1,9,82,16.6,3.6,2.0,-9.1,0.214,0.537,0.1,1996-97
11246,12629,Dalen Terry,CHI,20,79.0,195.0,Arizona,USA,2022,1,18,38,2.2,1.0,0.6,3.3,0.173,0.523,0.157,2022-23
9485,2588,Dalibor Bagaric,CHI,21,85.0,270.0,,Croatia,2000,1,24,50,3.7,3.2,0.5,-11.9,0.188,0.443,0.059,2001-02
5297,11919,Damian Jones,SAC,27,83.0,245.0,Vanderbilt,USA,2016,1,30,56,8.1,4.4,1.2,-6.8,0.163,0.701,0.106,2021-22
6,12564,Damian Lillard,POR,32,74.0,195.0,Weber State,USA,2012,1,6,58,32.2,4.8,7.3,2.1,0.331,0.645,0.338,2022-23
11694,8786,Damien Inglis,MIL,21,80.0,246.0,,France,2014,2,31,20,1.8,1.6,0.5,-10.0,0.158,0.444,0.112,2015-16
4513,5077,Damien Wilkins,SEA,28,78.0,225.0,Georgia,USA,,Undrafted,Undrafted,76,9.2,3.2,2.0,-12.1,0.194,0.474,0.129,2007-08
8192,6795,Damion James,NJN,24,79.0,225.0,Texas,USA,2010,1,24,7,4.9,4.7,0.4,-8.6,0.139,0.422,0.032,2011-12
2657,10925,Damion Lee,GSW,27,77.0,210.0,Drexel,USA,,Undrafted,Undrafted,49,12.7,4.9,2.7,-4.1,0.184,0.548,0.139,2019-20
11763,4476,Damir Markota,MIL,21,82.0,225.0,,USA,2006,2,59,30,1.7,1.0,0.2,-17.6,0.193,0.449,0.059,2006-07
8322,8460,Damjan Rudez,IND,29,82.0,200.0,,Croatia,,Undrafted,Undrafted,68,4.8,0.7,0.8,-0.7,0.137,0.591,0.079,2014-15
3156,3785,Damon Jones,MIA,28,75.0,185.0,Houston,USA,,Undrafted,Undrafted,82,11.6,2.8,4.3,9.9,0.154,0.625,0.201,2004-05
650,144,Damon Stoudamire,TOR,23,70.0,171.0,Arizona,USA,1995,1,7,81,20.2,4.1,8.8,-3.7,0.253,0.516,0.38,1996-97
7439,2886,Damone Brown,TOR,24,80.0,202.0,Syracuse,USA,2001,2,36,5,5.6,3.0,0.6,-5.3,0.177,0.363,0.051,2002-03
3634,10358,Damyean Dotson,NYK,25,78.0,210.0,Houston,USA,2017,2,44,73,10.7,3.6,1.8,-8.0,0.169,0.526,0.104,2018-19
2718,3782,Dan Dickau,NOH,26,72.0,190.0,Gonzaga,USA,2002,1,28,71,12.5,2.5,4.9,-9.3,0.224,0.518,0.309,2004-05
5891,3781,Dan Gadzuric,MIL,27,83.0,240.0,UCLA,Netherlands,2002,2,33,81,7.3,8.3,0.4,-2.3,0.157,0.551,0.026,2004-05
10153,2592,Dan Langhi,HOU,24,83.0,220.0,Vanderbilt,USA,2000,2,31,34,3.1,2.0,0.4,-21.4,0.146,0.412,0.058,2001-02
3552,145,Dan Majerle,MIA,31,78.0,220.0,Central Michigan,USA,1988,1,14,36,10.8,4.5,3.2,4.7,0.157,0.523,0.158,1996-97
10260,2054,Dan McClintock,DEN,24,84.0,270.0,Northern Arizona,USA,2000,2,53,6,3.0,2.8,0.2,-24.2,0.158,0.446,0.025,2000-01
7532,682,Dan Schayes,ORL,39,83.0,260.0,Syracuse,USA,1981,1,13,74,5.5,3.3,0.6,-0.6,0.178,0.479,0.059,1997-98
2706,147,Dana Barros,BOS,30,71.0,163.0,Boston College,USA,1989,1,16,24,12.5,2.0,3.4,-10.0,0.188,0.552,0.195,1996-97
9398,4389,Daniel Ewing,LAC,23,75.0,185.0,Duke,USA,2005,2,32,66,3.8,1.3,1.3,-1.2,0.16,0.458,0.145,2005-06
4416,11923,Daniel Gafford,WAS,23,81.0,234.0,Arkansas,USA,2019,2,38,72,9.4,5.7,0.9,-6.9,0.16,0.708,0.071,2021-22
3166,6356,Daniel Gibson,CLE,25,74.0,200.0,Texas,USA,2006,2,42,67,11.6,2.6,3.0,-5.4,0.198,0.533,0.185,2010-11
10355,10359,Daniel Hamilton,ATL,23,79.0,195.0,Connecticut,USA,2016,2,56,19,3.0,2.5,1.2,-4.9,0.153,0.455,0.157,2018-19
12143,9348,Daniel Ochefu,WAS,23,83.0,245.0,Villanova,USA,,Undrafted,Undrafted,19,1.3,1.2,0.2,-20.5,0.19,0.43,0.07,2016-17
10331,7845,Daniel Orton,PHI,23,82.0,275.0,Kentucky,USA,2010,1,29,22,3.0,2.8,0.7,-8.6,0.131,0.54,0.097,2013-14
10374,11924,Daniel Oturu,TOR,22,80.0,240.0,Minnesota,USA,2020,2,33,3,3.0,1.7,0.0,-36.8,0.125,0.549,0.0,2021-22
9139,3104,Daniel Santiago,MIL,28,85.0,260.0,Saint Vincent,Puerto Rico,,Undrafted,Undrafted,54,4.0,2.4,0.4,2.9,0.153,0.536,0.052,2003-04
4276,11394,Daniel Theis,CHI,29,80.0,245.0,,Germany,,Undrafted,Undrafted,65,9.6,5.5,1.7,-1.3,0.154,0.609,0.097,2020-21
737,10361,Danilo Gallinari,LAC,30,82.0,225.0,,Italy,2008,1,6,68,19.8,6.1,2.6,2.3,0.237,0.633,0.134,2018-19
3646,173,Danny Ferry,CLE,30,82.0,235.0,Duke,USA,1989,1,2,82,10.6,4.1,1.8,2.3,0.177,0.523,0.102,1996-97
1351,2070,Danny Fortson,GSW,25,80.0,260.0,Cincinnati,USA,1997,1,10,6,16.7,16.3,0.8,-9.6,0.166,0.678,0.042,2000-01
164,5466,Danny Granger,IND,26,80.0,228.0,New Mexico,USA,2005,1,17,67,25.8,5.1,2.7,1.2,0.294,0.584,0.127,2008-09
3128,8457,Danny Green,SAS,28,78.0,215.0,North Carolina,USA,2009,2,46,81,11.7,4.2,2.0,9.9,0.175,0.596,0.101,2014-15
2306,174,Danny Manning,PHX,31,82.0,234.0,Kansas,USA,1988,1,1,77,13.5,6.1,2.2,3.1,0.227,0.574,0.136,1996-97
4862,7375,Dante Cunningham,MIN,26,80.0,230.0,Villanova,USA,2009,2,33,80,8.7,5.1,0.8,-1.8,0.173,0.485,0.056,2012-13
5285,9831,Dante Exum,UTA,22,78.0,190.0,,Australia,2014,1,5,14,8.1,1.9,3.1,8.1,0.223,0.566,0.27,2017-18
12782,9371,Danuel House,WAS,24,79.0,215.0,Texas A&M,USA,,Undrafted,Undrafted,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2016-17
3733,10936,Danuel House Jr.,HOU,27,78.0,220.0,Texas A&M,USA,,Undrafted,Undrafted,63,10.5,4.2,1.3,3.3,0.135,0.572,0.061,2019-20
12500,6878,Darington Hobson,MIL,24,79.0,210.0,New Mexico,USA,2010,2,37,5,0.8,0.6,1.2,10.2,0.174,0.154,0.25,2011-12
1944,9861,Dario Saric,PHI,24,82.0,223.0,,Croatia,2014,1,12,78,14.6,6.7,2.6,5.9,0.204,0.582,0.129,2017-18
2270,11367,Darius Bazley,OKC,21,80.0,208.0,,USA,2019,1,23,55,13.7,7.2,1.8,-13.1,0.218,0.491,0.091,2020-21
9460,12499,Darius Days,HOU,23,79.0,245.0,Louisiana State,USA,,Undrafted,Undrafted,4,3.8,1.5,0.3,-0.2,0.21,0.582,0.067,2022-23
456,12230,Darius Garland,CLE,22,73.0,192.0,Vanderbilt,USA,2019,1,5,68,21.7,3.3,8.6,6.6,0.272,0.576,0.378,2021-22
12759,7376,Darius Johnson-Odom,LAL,23,74.0,215.0,Marquette,USA,2012,2,55,4,0.0,1.0,0.3,-43.1,0.269,0.0,0.333,2012-13
2128,4406,Darius Miles,POR,24,81.0,210.0,,USA,2000,1,3,40,14.0,4.6,1.8,-8.9,0.256,0.48,0.106,2005-06
5225,10330,Darius Miller,NOP,29,80.0,225.0,Kentucky,USA,2012,2,46,69,8.2,1.9,2.1,-0.2,0.131,0.55,0.107,2018-19
9189,7353,Darius Morris,LAL,22,76.0,190.0,Michigan,USA,2011,2,41,48,4.0,1.2,1.6,0.8,0.162,0.475,0.175,2012-13
4509,4407,Darius Songaila,CHI,28,80.0,240.0,Wake Forest,Lithuania,2002,2,49,62,9.2,4.0,1.4,1.8,0.215,0.524,0.113,2005-06
10438,5000,Darius Washington,SAS,22,74.0,195.0,Memphis,USA,,Undrafted,Undrafted,18,2.9,1.1,0.8,1.3,0.214,0.493,0.161,2007-08
4791,6418,Darko Milicic,MIN,26,84.0,275.0,,Serbia,2003,1,2,69,8.8,5.2,1.5,-6.7,0.199,0.482,0.099,2010-11
10088,6419,Darnell Jackson,SAC,25,81.0,253.0,Kansas,USA,2008,2,52,59,3.2,1.6,0.2,-5.8,0.175,0.521,0.048,2010-11
1483,1732,Darrell Armstrong,ORL,32,73.0,180.0,Fayetteville State,USA,,Undrafted,Undrafted,82,16.2,3.3,6.1,0.4,0.235,0.542,0.309,1999-00
4591,6420,Darrell Arthur,MEM,23,81.0,235.0,Kansas,USA,2008,1,27,80,9.1,4.3,0.7,2.0,0.216,0.534,0.056,2010-11
1523,8451,Darren Collison,SAC,27,72.0,175.0,UCLA,USA,2009,1,21,45,16.1,3.2,5.6,1.2,0.21,0.575,0.263,2014-15
3497,176,Darrick Martin,LAC,26,71.0,170.0,UCLA,USA,,Undrafted,Undrafted,82,10.9,1.4,4.1,-4.5,0.232,0.539,0.292,1996-97
11613,177,Darrin Hancock,ATL,25,79.0,205.0,Kansas,USA,1994,2,38,24,1.8,0.8,0.5,-2.6,0.159,0.51,0.136,1996-97
9209,8793,Darrun Hilliard,DET,23,78.0,205.0,Villanova,USA,2015,2,38,38,4.0,1.2,0.7,-0.1,0.198,0.511,0.117,2015-16
8500,6874,Darryl Watkins,NOH,27,83.0,258.0,Syracuse,USA,,Undrafted,Undrafted,5,4.6,5.4,0.6,-13.4,0.151,0.525,0.065,2011-12
7915,1721,Darvin Ham,MIL,26,79.0,230.0,Texas Tech,USA,,Undrafted,Undrafted,35,5.1,4.9,1.2,4.9,0.106,0.545,0.074,1999-00
9662,10366,Daryl Macon,DAL,23,75.0,185.0,Arkansas,USA,,Undrafted,Undrafted,8,3.6,1.5,0.9,-2.1,0.167,0.482,0.123,2018-19
7279,6059,David Andersen,HOU,30,83.0,245.0,,USA,2002,2,36,63,5.8,3.3,0.7,1.8,0.202,0.497,0.084,2009-10
7531,674,David Benoit,ORL,30,80.0,220.0,Alabama,USA,,Undrafted,Undrafted,77,5.5,2.6,0.3,-0.6,0.191,0.477,0.037,1997-98
8436,11953,David Duke Jr.,BKN,22,76.0,204.0,Providence,USA,,Undrafted,Undrafted,22,4.7,3.0,0.8,0.1,0.15,0.444,0.066,2021-22
6966,3772,David Harrison,IND,22,84.0,280.0,Colorado,USA,2004,1,29,43,6.1,3.1,0.3,-1.2,0.179,0.589,0.032,2004-05
12826,11952,David Johnson,TOR,21,76.0,203.0,Louisville,USA,2021,2,47,2,0.0,0.0,0.0,-75.0,0.143,0.0,0.0,2021-22
658,6058,David Lee,NYK,27,81.0,250.0,Florida,USA,2005,1,30,81,20.2,11.7,3.6,-4.6,0.239,0.584,0.172,2009-10
10640,4462,David Noel,MIL,23,78.0,230.0,North Carolina,USA,2006,2,39,68,2.7,1.8,1.0,-8.2,0.136,0.47,0.122,2006-07
4545,11370,David Nwaba,HOU,28,77.0,219.0,Cal Poly,USA,,Undrafted,Undrafted,30,9.2,3.9,1.0,-1.3,0.163,0.557,0.07,2020-21
458,673,David Robinson,SAS,32,85.0,250.0,Navy,USA,1987,1,1,73,21.6,10.6,2.7,7.7,0.297,0.581,0.159,1997-98
6475,12502,David Roddy,MEM,22,76.0,255.0,Colorado State,USA,2022,1,23,70,6.7,2.8,0.8,-1.9,0.163,0.519,0.064,2022-23
10003,9890,David Stockton,UTA,27,71.0,165.0,Gonzaga,USA,,Undrafted,Undrafted,3,3.3,0.0,0.0,-46.3,0.25,1.05,0.0,2017-18
7540,2062,David Vanterpool,WAS,28,77.0,200.0,St. Bonaventure,USA,,Undrafted,Undrafted,22,5.5,1.7,3.0,-1.3,0.181,0.462,0.254,2000-01
9002,672,David Vaughn,NJN,25,81.0,240.0,Memphis,USA,1995,1,25,40,4.1,3.8,0.5,-11.4,0.184,0.48,0.069,1997-98
12774,8448,David Wear,SAC,24,82.0,230.0,UCLA,USA,,Undrafted,Undrafted,2,0.0,1.0,0.5,-67.3,0.091,0.0,0.143,2014-15
1226,2061,David Wesley,CHH,30,73.0,211.0,Baylor,USA,,Undrafted,Undrafted,82,17.2,2.7,4.4,2.6,0.23,0.509,0.214,2000-01
538,5464,David West,NOH,28,81.0,240.0,Xavier,USA,2003,1,18,76,21.0,8.5,2.3,4.1,0.263,0.54,0.105,2008-09
7050,2060,David Wingate,SEA,37,77.0,187.0,Georgetown,USA,1986,2,44,1,6.0,0.0,2.0,70.6,0.14,1.0,0.286,2000-01
12167,183,David Wood,MIL,32,81.0,230.0,Nevada-Reno,USA,,Undrafted,Undrafted,46,1.2,0.6,0.3,3.9,0.1,0.621,0.085,1996-97
3238,11957,Davion Mitchell,SAC,23,72.0,202.0,Baylor,USA,2021,1,9,75,11.5,2.2,4.2,-6.0,0.202,0.489,0.235,2021-22
1700,10954,Davis Bertans,WAS,27,82.0,225.0,,Latvia,2011,2,42,54,15.4,4.5,1.7,-0.3,0.183,0.628,0.081,2019-20
8766,11975,Davon Reed,DEN,27,77.0,206.0,Miami,USA,2017,2,32,48,4.4,2.3,1.1,0.3,0.117,0.624,0.115,2021-22
6935,11968,Day'Ron Sharpe,BKN,20,81.0,265.0,North Carolina,USA,2021,1,29,32,6.2,5.0,0.5,6.9,0.205,0.593,0.062,2021-22
201,11372,De'Aaron Fox,SAC,23,75.0,185.0,Kentucky,USA,2017,1,5,58,25.2,3.5,7.2,-4.5,0.304,0.565,0.326,2020-21
1706,12508,De'Andre Hunter,ATL,25,80.0,221.0,Virginia,USA,2019,1,4,67,15.4,4.2,1.4,-0.6,0.193,0.563,0.059,2022-23
3598,11980,De'Anthony Melton,MEM,24,74.0,200.0,Southern California,USA,2018,2,46,73,10.8,4.5,2.7,5.6,0.205,0.529,0.157,2021-22
2646,8796,DeAndre Jordan,LAC,27,83.0,265.0,Texas A&M,USA,2008,2,35,77,12.7,13.8,1.2,10.2,0.154,0.628,0.051,2015-16
10890,9361,DeAndre Liggins,DAL,29,78.0,209.0,Kentucky,USA,2011,2,53,62,2.5,1.7,0.9,2.8,0.116,0.476,0.097,2016-17
5101,10308,DeAndre' Bembry,ATL,24,78.0,210.0,,USA,2016,1,21,82,8.4,4.4,2.5,-5.0,0.168,0.508,0.15,2018-19
12828,11977,DeJon Jarreau,IND,24,77.0,185.0,Houston,USA,,Undrafted,Undrafted,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2021-22
4317,6869,DeJuan Blair,SAS,23,79.0,270.0,Pittsburgh,USA,2009,2,37,64,9.5,5.5,1.2,2.1,0.214,0.549,0.091,2011-12
8558,921,DeJuan Wheat,VAN,25,72.0,165.0,Louisville,USA,1997,2,51,46,4.5,1.0,2.2,-9.9,0.206,0.479,0.329,1998-99
72,11983,DeMar DeRozan,CHI,32,78.0,220.0,Southern California,USA,2009,1,9,76,27.9,5.2,4.9,1.1,0.308,0.59,0.228,2021-22
12176,1717,DeMarco Johnson,NYK,24,81.0,245.0,North Carolina-Charlotte,USA,1998,2,38,5,1.2,1.4,0.0,-0.3,0.154,0.333,0.0,1999-00
109,9358,DeMarcus Cousins,NOP,26,83.0,270.0,Kentucky,USA,2010,1,5,72,27.0,11.0,4.6,-2.2,0.364,0.562,0.262,2016-17
9041,5447,DeMarcus Nelson,GSW,23,76.0,200.0,Duke,USA,,Undrafted,Undrafted,13,4.1,1.8,1.0,-13.8,0.178,0.44,0.12,2008-09
2337,9880,DeMarre Carroll,BKN,31,80.0,215.0,Missouri,USA,2009,1,27,73,13.5,6.6,2.0,-1.2,0.194,0.55,0.106,2017-18
9532,7334,DeQuan Jones,ORL,23,80.0,221.0,Miami (FL),USA,,Undrafted,Undrafted,63,3.7,1.7,0.3,-10.8,0.15,0.485,0.03,2012-13
10436,4925,DeSagana Diop,NJN,26,84.0,280.0,,Senegal,2001,1,8,79,2.9,5.0,0.5,4.2,0.097,0.536,0.047,2007-08
3252,3231,DeShawn Stevenson,ORL,23,77.0,210.0,,USA,2000,1,23,80,11.4,3.7,2.0,-5.7,0.202,0.473,0.114,2003-04
12387,10312,DeVaughn Akoon-Purcell,DEN,26,78.0,200.0,Illinois State,Trinidad and Tobago,,Undrafted,Undrafted,7,1.0,0.6,0.9,4.2,0.228,0.322,0.375,2018-19
5303,184,Dean Garrett,MIN,30,83.0,250.0,Indiana,USA,1988,2,38,68,8.0,7.3,0.6,1.2,0.135,0.603,0.035,1996-97
11282,2571,Dean Oliver,GSW,23,71.0,175.0,Iowa,USA,,Undrafted,Undrafted,20,2.1,0.4,1.1,-16.8,0.185,0.42,0.25,2001-02
7127,11379,Dean Wade,CLE,24,81.0,228.0,Kansas State,USA,,Undrafted,Undrafted,63,6.0,3.4,1.2,-9.0,0.128,0.573,0.094,2020-21
1031,10945,Deandre Ayton,PHX,21,83.0,250.0,Arizona,Bahamas,2018,1,1,38,18.2,11.5,1.9,4.0,0.231,0.568,0.091,2019-20
5629,1715,Dedric Willoughby,CHI,26,75.0,180.0,Iowa State,USA,,Undrafted,Undrafted,25,7.6,2.0,2.6,-6.0,0.204,0.472,0.225,1999-00
3336,923,Dee Brown,TOR,30,74.0,185.0,Jacksonville,USA,1990,1,19,49,11.2,2.1,2.9,-1.0,0.194,0.529,0.187,1998-99
11340,11381,Deividas Sirvydis,DET,21,80.0,190.0,,Lithuania,2019,2,37,20,2.1,1.5,0.3,-9.7,0.15,0.481,0.062,2020-21
531,11971,Dejounte Murray,SAS,25,76.0,180.0,Washington,USA,2016,1,29,68,21.1,8.3,9.2,1.9,0.268,0.533,0.388,2021-22
1860,186,Dell Curry,CHH,33,77.0,205.0,Virginia Tech,USA,1986,1,15,68,14.8,3.1,1.7,1.6,0.226,0.562,0.104,1996-97
12293,187,Dell Demps,ORL,27,75.0,205.0,Pacific,USA,,Undrafted,Undrafted,2,1.0,0.0,0.0,-53.7,0.185,0.258,0.0,1996-97
3899,11383,Delon Wright,SAC,29,77.0,185.0,Utah,USA,2015,1,20,63,10.2,4.3,4.4,-3.5,0.163,0.562,0.237,2020-21
2850,4715,Delonte West,BOS,23,76.0,180.0,Saint Joseph's,USA,2004,1,24,69,12.2,3.0,4.4,-6.1,0.193,0.526,0.237,2006-07
11669,5427,Demetris Nichols,NYK,24,80.0,216.0,Syracuse,USA,2007,2,53,4,1.8,0.5,0.3,35.6,0.3,0.354,0.111,2008-09
9562,10315,Demetrius Jackson,PHI,24,73.0,201.0,Notre Dame,USA,2016,2,45,6,3.7,0.5,0.8,-14.8,0.182,0.656,0.185,2018-19
11805,10316,Deng Adel,CLE,22,79.0,200.0,,South Sudan,,Undrafted,Undrafted,19,1.7,1.0,0.3,-9.5,0.097,0.424,0.038,2018-19
12737,4428,Deng Gai,PHI,24,81.0,250.0,Fairfield,Sudan (UK),,Undrafted,Undrafted,2,0.0,0.0,0.0,-29.1,0.0,0.0,0.0,2005-06
4559,12493,Deni Avdija,WAS,22,81.0,210.0,,Israel,2020,1,9,76,9.2,6.4,2.8,-0.8,0.165,0.535,0.142,2022-23
12579,6862,Dennis Horner,NJN,24,81.0,230.0,North Carolina State,USA,,Undrafted,Undrafted,8,0.6,0.6,0.0,-40.1,0.145,0.434,0.0,2011-12
7332,188,Dennis Rodman,CHI,36,78.0,220.0,Southeastern Oklahoma State,USA,1986,2,27,55,5.7,16.1,3.1,16.1,0.1,0.479,0.113,1996-97
803,9876,Dennis Schroder,ATL,24,73.0,172.0,,Germany,2013,1,17,67,19.4,3.1,6.2,-6.7,0.299,0.515,0.352,2017-18
2707,189,Dennis Scott,ORL,28,80.0,235.0,Georgia Tech,USA,1990,1,4,66,12.5,3.1,2.1,1.9,0.188,0.519,0.106,1996-97
1759,9875,Dennis Smith Jr.,DAL,20,75.0,195.0,North Carolina State,USA,2017,1,9,69,15.2,3.8,5.2,-7.6,0.28,0.473,0.301,2017-18
3897,9874,Denzel Valentine,CHI,24,78.0,214.0,Michigan State,USA,2016,1,14,77,10.2,5.1,3.2,-6.8,0.17,0.527,0.178,2017-18
10700,10918,Deonte Burton,OKC,26,76.0,240.0,Iowa State,USA,,Undrafted,Undrafted,39,2.7,1.5,0.4,-12.7,0.173,0.396,0.076,2019-20
5049,2574,DerMarr Johnson,ATL,22,81.0,201.0,Cincinnati,USA,2000,1,6,72,8.4,3.4,1.1,-1.9,0.179,0.513,0.076,2001-02
1303,1710,Derek Anderson,LAC,25,77.0,195.0,Kentucky,USA,1997,1,13,64,16.9,4.0,3.4,-13.3,0.235,0.542,0.179,1999-00
2397,4416,Derek Fisher,GSW,31,73.0,205.0,Arkansas-Little Rock,USA,1996,1,24,82,13.3,2.6,4.3,-0.7,0.202,0.536,0.23,2005-06
11831,843,Derek Grimm,SAC,23,81.0,230.0,Missouri,USA,,Undrafted,Undrafted,9,1.6,0.4,0.0,-18.2,0.199,0.47,0.0,1997-98
3985,191,Derek Harper,DAL,35,76.0,206.0,Illinois,USA,1983,1,11,75,10.0,1.8,4.3,-7.7,0.181,0.516,0.252,1996-97
12706,1708,Derek Hood,CHH,23,80.0,230.0,Arkansas,USA,,Undrafted,Undrafted,2,0.0,0.5,0.0,-87.9,0.244,0.0,0.0,1999-00
2621,841,Derek Strong,ORL,30,81.0,240.0,Xavier,USA,1990,2,47,58,12.7,7.4,0.9,1.0,0.226,0.498,0.056,1997-98
12521,12474,Dereon Seabron,NOP,23,77.0,180.0,North Carolina State,USA,,Undrafted,Undrafted,5,0.8,0.2,0.0,36.8,0.156,0.4,0.0,2022-23
539,6860,Deron Williams,NJN,28,75.0,209.0,Illinois,USA,2005,1,3,55,21.0,3.3,8.7,-6.2,0.299,0.527,0.458,2011-12
12686,193,Derrick Alston,ATL,24,83.0,225.0,Duquesne,USA,1994,2,33,2,0.0,2.0,0.0,-39.9,0.213,0.0,0.0,1996-97
5277,6859,Derrick Brown,CHA,24,80.0,233.0,Xavier,USA,2009,2,40,65,8.1,3.6,1.0,-14.8,0.169,0.556,0.086,2011-12
