,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,usg_pct,ts_pct,ast_pct,season
12769,7857,Royce White,SAC,23,80.0,260.0,Iowa State,USA,2012,1,16,3,0.0,0.0,0.0,-37.5,0.061,0.0,0.0,2013-14
12180,2220,Ruben Boumtje-Boumtje,POR,24,84.0,245.0,Georgetown,USA,2001,2,49,33,1.2,1.7,0.1,-12.8,0.11,0.453,0.028,2001-02
12179,2188,Ruben Garces,GSW,27,81.0,245.0,Providence,USA,,Undrafted,Undrafted,13,1.2,2.2,0.4,11.3,0.149,0.313,0.088,2000-01
9102,237,Ruben Nembhard,POR,25,75.0,208.0,Weber State,USA,,Undrafted,Undrafted,10,4.0,0.8,1.7,-0.3,0.199,0.483,0.25,1996-97
1899,4689,Ruben Patterson,MIL,31,77.0,223.0,Cincinnati,USA,1998,2,31,81,14.7,5.4,2.9,-3.4,0.222,0.578,0.154,2006-07
11166,2137,Ruben Wolkowyski,SEA,27,82.0,270.0,,Argentina,,Undrafted,Undrafted,34,2.2,1.4,0.1,0.9,0.153,0.399,0.015,2000-01
3746,5544,Rudy Fernandez,POR,24,78.0,185.0,,Spain,2007,1,24,78,10.4,2.7,2.0,5.0,0.184,0.588,0.133,2008-09
525,8144,Rudy Gay,SAC,28,80.0,230.0,Connecticut,USA,2006,1,8,68,21.1,5.9,3.7,-2.3,0.268,0.556,0.185,2014-15
1573,10368,Rudy Gobert,UTA,27,85.0,245.0,,France,2013,1,27,81,15.9,12.9,2.0,6.9,0.175,0.682,0.095,2018-19
2232,11556,Rui Hachimura,WAS,23,80.0,230.0,Gonzaga,Japan,2019,1,9,57,13.8,5.5,1.4,-2.8,0.18,0.549,0.062,2020-21
9901,238,Rumeal Robinson,POR,30,74.0,195.0,Michigan,USA,1990,1,10,54,3.3,0.9,1.4,4.5,0.199,0.491,0.233,1996-97
10878,8142,Russ Smith,MEM,24,72.0,165.0,Louisville,USA,2014,2,47,12,2.5,0.5,0.7,10.4,0.251,0.488,0.216,2014-15
11,9309,Russell Westbrook,OKC,28,75.0,200.0,UCLA,USA,2008,1,4,81,31.6,10.7,10.4,3.3,0.408,0.554,0.543,2016-17
4435,1543,Rusty LaRue,CHI,26,75.0,190.0,Wake Forest,USA,,Undrafted,Undrafted,4,9.3,2.5,2.8,-20.1,0.19,0.401,0.172,1999-00
736,7861,Ryan Anderson,NOP,26,82.0,240.0,California,USA,2008,1,21,22,19.8,6.5,0.8,1.7,0.22,0.572,0.032,2013-14
6458,10371,Ryan Arcidiacono,CHI,25,75.0,200.0,Villanova,USA,,Undrafted,Undrafted,81,6.7,2.7,3.3,-5.8,0.117,0.588,0.191,2018-19
8156,2216,Ryan Bowen,DEN,26,81.0,227.0,Iowa,USA,1998,2,55,75,4.9,4.0,0.7,1.0,0.103,0.524,0.046,2001-02
8987,10995,Ryan Broekhoff,PHI,29,78.0,215.0,Valparaiso,Australia,,Undrafted,Undrafted,17,4.2,2.5,0.6,2.1,0.155,0.568,0.083,2019-20
2402,5549,Ryan Gomes,MIN,26,79.0,245.0,Providence,USA,2005,2,50,82,13.3,4.8,1.6,-8.3,0.204,0.518,0.087,2008-09
6980,5789,Ryan Hollins,MIN,25,84.0,230.0,UCLA,USA,2006,2,50,73,6.1,2.8,0.7,-16.8,0.166,0.6,0.066,2009-10
10422,3731,Ryan Humphrey,MEM,25,80.0,235.0,Notre Dame,USA,2002,1,19,35,2.9,2.5,0.2,-3.1,0.205,0.428,0.036,2004-05
5349,7864,Ryan Kelly,LAL,23,83.0,230.0,Duke,USA,2013,2,48,59,8.0,3.7,1.6,-3.3,0.159,0.548,0.104,2013-14
11880,7151,Ryan Reid,OKC,25,80.0,235.0,Florida State,USA,2010,2,57,5,1.6,0.4,0.0,15.0,0.163,0.8,0.0,2011-12
8016,1541,Ryan Robertson,SAC,23,77.0,190.0,Kansas,USA,1999,2,45,1,5.0,0.0,0.0,-33.4,0.119,0.388,0.0,1999-00
11610,12329,Ryan Rollins,GSW,20,75.0,180.0,Toledo,USA,2022,2,44,12,1.9,1.0,0.5,-38.1,0.26,0.508,0.214,2022-23
10717,1090,Ryan Stack,CLE,23,83.0,215.0,South Carolina,USA,1998,2,48,18,2.6,1.9,0.3,-19.4,0.14,0.513,0.045,1998-99
7135,12328,Saben Lee,PHX,24,74.0,183.0,Vanderbilt,USA,2020,2,38,25,6.0,1.8,2.7,-4.4,0.184,0.517,0.278,2022-23
1530,12258,Saddiq Bey,DET,23,79.0,215.0,Villanova,USA,2020,1,19,82,16.1,5.4,2.8,-9.3,0.209,0.529,0.138,2021-22
9331,10373,Salah Mejri,DAL,33,86.0,235.0,,Tunisia,,Undrafted,Undrafted,36,3.9,3.6,1.0,-4.4,0.153,0.559,0.137,2018-19
4169,4014,Salim Stoudamire,ATL,23,73.0,179.0,Arizona,USA,2005,2,31,61,9.7,1.9,1.2,-5.4,0.224,0.545,0.107,2005-06
730,3289,Sam Cassell,MIN,34,75.0,185.0,Florida State,USA,1993,1,24,81,19.8,3.3,7.3,10.2,0.269,0.566,0.354,2003-04
6625,9305,Sam Dekker,HOU,23,81.0,230.0,Wisconsin,USA,2015,1,18,77,6.5,3.7,1.0,2.8,0.15,0.549,0.079,2016-17
6753,12327,Sam Hauser,BOS,25,79.0,217.0,Virginia,USA,,Undrafted,Undrafted,80,6.4,2.6,0.9,7.7,0.141,0.634,0.076,2022-23
8150,1538,Sam Jacobson,GSW,24,76.0,219.0,Minnesota,USA,1998,1,26,52,4.9,1.4,0.6,-8.8,0.164,0.554,0.077,1999-00
3554,599,Sam Mack,VAN,28,79.0,220.0,Houston,USA,,Undrafted,Undrafted,57,10.8,2.3,1.8,-10.5,0.207,0.519,0.118,1997-98
8125,12361,Sam Merrill,CLE,27,76.0,205.0,Utah State,USA,2020,2,60,5,5.0,1.8,1.0,-3.3,0.177,0.546,0.143,2022-23
2786,598,Sam Mitchell,MIN,34,79.0,215.0,Mercer,USA,1985,3,54,81,12.3,4.8,1.3,1.8,0.198,0.539,0.078,1997-98
3440,242,Sam Perkins,SEA,36,81.0,255.0,North Carolina,USA,1984,1,4,81,11.0,3.7,1.3,10.6,0.198,0.584,0.089,1996-97
5814,5784,Sam Young,MEM,25,78.0,220.0,Pittsburgh,USA,2009,2,36,80,7.4,2.5,0.7,-9.2,0.219,0.518,0.068,2009-10
4703,596,Samaki Walker,DAL,22,81.0,240.0,Louisville,USA,1996,1,9,41,8.9,7.4,0.6,-11.2,0.191,0.503,0.043,1997-98
5503,6475,Samardo Samuels,CLE,22,81.0,260.0,Louisville,Jamaica,,Undrafted,Undrafted,37,7.8,4.3,0.5,-10.9,0.214,0.498,0.043,2010-11
3618,4683,Samuel Dalembert,PHI,27,83.0,250.0,Seton Hall,Haiti,2001,1,26,82,10.7,8.9,0.8,0.0,0.168,0.581,0.041,2006-07
7030,12385,Sandro Mamukelashvili,SAS,24,82.0,240.0,Seton Hall,Georgia,2021,2,54,43,6.1,4.3,1.4,-10.1,0.177,0.516,0.134,2022-23
4698,12427,Santi Aldama,MEM,22,84.0,215.0,Loyola-Maryland,Spain,2021,1,30,77,9.0,4.8,1.3,2.6,0.157,0.591,0.076,2022-23
