player_name,age,player_height,player_weight,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,usg_pct,ts_pct,ast_pct,season,POS,BMI,BF,WNGSPN,STNDRCH,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT
Willie Green,26,75.0,201.0,2003.0,2,41,74,12.4,2.5,2.0,-1.2,0.238,0.492,0.124,2007-08,SG-PG,25.46,0.08,79.25,100.0,28.5,28.5,11.86,,3.19
Willie Warren,21,76.0,203.0,2010.0,2,54,19,1.9,0.6,1.4,3.9,0.16,0.48,0.307,2010-11,SG-PG,26.4,0.076,78.0,99.5,23.0,31.5,11.21,,3.5
Xavier Henry,23,78.0,220.0,2010.0,1,12,43,10.0,2.7,1.2,-1.1,0.227,0.511,0.09,2013-14,SG,24.76,0.047,83.25,105.0,28.5,36.5,11.1,,3.18
Xavier Tillman Sr.,23,80.0,245.0,2020.0,2,35,53,4.8,3.0,1.2,-1.4,0.164,0.51,0.127,2021-22,PF-C,29.64,0.085,86.0,106.0,26.0,32.5,11.8,3.01,3.49
Yante Maten,22,80.0,240.0,,Undrafted,Undrafted,2,1.0,1.5,0.0,14.8,0.133,0.25,0.0,2018-19,PF-C,27.56,0.081,84.5,107.5,27.0,31.5,11.35,3.13,3.17
Yves Pons,23,77.0,206.0,,Undrafted,Undrafted,12,1.1,1.0,0.1,-21.3,0.096,0.385,0.024,2021-22,PF,24.16,0.04,84.75,104.0,36.0,42.5,10.89,3.05,3.1
Zabian Dowdell,26,75.0,191.0,,Undrafted,Undrafted,24,5.0,0.8,2.1,-4.1,0.251,0.457,0.295,2010-11,PG,25.2,0.051,82.0,100.0,30.0,33.5,11.13,,3.29
Zach Collins,25,83.0,250.0,2017.0,1,10,63,11.6,6.4,2.9,-7.5,0.209,0.599,0.18,2022-23,PF-C,24.13,0.089,85.0,111.0,,,,,
Zach LaVine,26,77.0,200.0,2014.0,1,13,58,27.4,5.0,4.9,-0.8,0.302,0.634,0.225,2020-21,PG,21.73,0.047,80.25,100.0,33.5,41.5,10.42,2.8,3.19
Zach Norvell Jr.,22,77.0,205.0,2019.0,Undrafted,Undrafted,5,2.0,1.2,0.6,-32.3,0.147,0.402,0.091,2019-20,SG,24.79,0.075,78.0,101.0,24.0,30.0,11.6,3.34,3.43
Zeke Nnaji,21,81.0,240.0,2020.0,1,22,41,6.6,3.6,0.4,-3.2,0.146,0.629,0.037,2021-22,PF-C,26.28,0.059,86.0,105.5,33.0,38.0,10.94,2.72,3.2
Zhaire Smith,20,76.0,199.0,2018.0,1,16,6,6.7,2.2,1.7,7.3,0.166,0.533,0.101,2018-19,SF-SG,24.99,0.0605,81.75,100.0,33.0,41.5,11.02,3.15,3.05
Zhou Qi,23,85.0,210.0,2016.0,2,43,1,2.0,0.0,0.0,-66.7,0.333,1.0,0.0,2018-19,PF-C,21.11,0.0485,91.75,112.5,31.5,32.0,11.27,2.9,3.46
Ziaire Williams,20,81.0,185.0,2021.0,1,10,62,8.1,2.1,1.0,4.2,0.144,0.559,0.062,2021-22,SF,20.57,0.044,82.25,106.5,34.0,39.5,10.69,3.04,3.12
